date,campaign_id,campaign_name,channel,source_medium,ad_group,creative_type,device,region,audience_segment,landing_page,funnel_stage,impressions,clicks,sessions,conversions,conversion_rate,cost_krw,revenue_krw,avg_order_value_krw,roas,bounce_rate,cart_adds,checkout_starts,signups,email_opt_ins,coupon_uses,returning_user_rate,quality_score,experiment_group
2026-01-01,CMP-2026-001,Spring_CVR_Boost,Paid_Search,google_cpc,Brand_Terms,Static_Image,Desktop,Seoul,Returning_Visitors,/pricing,Awareness,4200,122,95,5,5.26%,93940,180000,36000,1.92,50.64%,10,5,5,2,1,12%,6,Control
2026-01-02,CMP-2026-002,Remarketing_Checkout,Paid_Social,kakao_paid,Lookalike_1pct,Short_Video,Tablet,Daegu,Cart_Abandoners,/promo/spring,Consideration,4617,99,80,4,5%,65043,151724,37931,2.33,52.7%,9,5,4,2,1,17%,6,Control
2026-01-03,CMP-2026-003,Search_Brand_Core,Display,programmatic_cpm,New_Visitors,Carousel,Mobile,Gwangju,VIP_Customers,/checkout,Conversion,5034,126,105,7,6.67%,69804,279034,39862,4,52.06%,14,9,7,4,2,22%,7,Control
2026-01-04,CMP-2026-004,Social_Video_Launch,Direct,brand_direct,Retargeting_7d,Text_Search,Desktop,Gangwon,New_Prospects,/blog/cvr-guide,Retention,5451,155,133,9,6.77%,88505,376137,41793,4.25,53.62%,18,13,9,5,3,27%,7,Variant_A
2026-01-05,CMP-2026-005,Email_Nurture_Series,Paid_Social,meta_paid,Cart_Abandoners,Product_Feed,Tablet,Busan,High_Intent,/pricing,Awareness,5868,188,165,8,4.85%,133104,349792,43724,2.63,58.01%,20,10,11,7,1,32%,6,Variant_A
2026-01-06,CMP-2026-006,Affiliate_Review_Push,Email,newsletter_email,Loyalty_Members,Newsletter,Mobile,Daejeon,Price_Sensitive,/promo/spring,Consideration,6285,267,242,17,7.02%,161535,776135,45655,4.8,56.67%,31,18,18,6,4,37%,7,Variant_A
2026-01-07,CMP-2026-007,Display_Prospecting,Referral,review_blog_referral,Competitor_Terms,Native_Article,Desktop,Jeju,Dormant_Users,/checkout,Conversion,6702,261,243,20,8.23%,162342,951720,47586,5.86,56.68%,35,22,20,7,6,56%,8,Variant_B
2026-01-08,CMP-2026-008,Loyalty_Winback,Paid_Search,naver_cpc,Nonbrand_Generic,Static_Image,Tablet,Gyeonggi,Returning_Visitors,/blog/cvr-guide,Retention,7119,381,297,24,8.08%,338709,1188408,49517,3.51,58.59%,43,30,24,10,8,47%,8,Variant_B
2026-01-09,CMP-2026-009,Product_Demo_Trial,Organic_Search,google_organic,Product_Viewers,Short_Video,Mobile,Incheon,Cart_Abandoners,/pricing,Awareness,7536,347,279,16,5.73%,227632,823168,51448,3.62,49.98%,34,18,16,11,3,52%,7,Variant_B
2026-01-10,CMP-2026-010,Weekend_Flash_Sale,Affiliate,partner_affiliate,Promo_Seekers,Text_Search,Desktop,Ulsan,VIP_Customers,/promo/spring,Consideration,7953,143,119,9,7.56%,96239,480411,53379,4.99,49.12%,18,10,9,5,2,57%,8,Control
